salary_id,job_id,pay_period,currency,compensation_type,standardized_max_salary,standardized_min_salary,standardized_med_salary,currency_encoded,compensation_type_encoded
34290,3905828162,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34291,3905825651,HOURLY,USD,BASE_SALARY,31200.0,31200.0,31200.0,5,0
34292,3902340797,YEARLY,USD,BASE_SALARY,115000.0,90000.0,90000.0,5,0
34293,3905831042,YEARLY,USD,BASE_SALARY,85000.0,75000.0,75000.0,5,0
34294,3902347242,YEARLY,USD,BASE_SALARY,65000.0,55000.0,63918.309907429066,5,0
34295,3902347252,YEARLY,USD,BASE_SALARY,80000.0,70000.0,70000.0,5,0
34296,3902345442,YEARLY,USD,BASE_SALARY,126000.0,70000.0,70000.0,5,0
34297,3905824874,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34298,3905828450,YEARLY,USD,BASE_SALARY,54000.0,50000.0,54000.0,5,0
34299,3902345408,YEARLY,USD,BASE_SALARY,140000.0,125000.0,125000.0,5,0
34300,3904090561,YEARLY,USD,BASE_SALARY,170000.0,130000.0,130000.0,5,0
34301,3905825693,YEARLY,USD,BASE_SALARY,170000.0,140000.0,140000.0,5,0
34302,3905824887,YEARLY,USD,BASE_SALARY,85000.0,51000.0,63918.309907429066,5,0
34303,3904093331,YEARLY,USD,BASE_SALARY,285000.0,190000.0,190000.0,5,0
34304,3905829343,YEARLY,USD,BASE_SALARY,70000.0,60000.0,63918.309907429066,5,0
34305,3902340836,YEARLY,USD,BASE_SALARY,66000.0,63000.0,63918.309907429066,5,0
34306,3904091323,YEARLY,USD,BASE_SALARY,75000.0,65000.0,65000.0,5,0
34307,3902341802,YEARLY,USD,BASE_SALARY,50000.0,40000.0,50000.0,5,0
34308,3904091326,HOURLY,USD,BASE_SALARY,45760.0,45760.0,45760.0,5,0
34309,3904091331,YEARLY,USD,BASE_SALARY,105000.0,90000.0,90000.0,5,0
34310,3902340822,YEARLY,USD,BASE_SALARY,100000.0,75000.0,75000.0,5,0
34311,3902343456,YEARLY,USD,BASE_SALARY,247260.0,133140.0,133140.0,5,0
34312,3902341737,HOURLY,USD,BASE_SALARY,55640.0,41912.0,55640.0,5,0
34313,3902340782,HOURLY,USD,BASE_SALARY,93184.0,57324.799999999996,63918.309907429066,5,0
34314,3902343460,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34315,3902341738,HOURLY,USD,BASE_SALARY,50752.0,36192.0,50752.0,5,0
34316,3902343476,HOURLY,USD,BASE_SALARY,50128.0,36192.0,50128.0,5,0
34317,3902342562,HOURLY,USD,BASE_SALARY,54080.0,37440.0,54080.0,5,0
34318,3902340769,HOURLY,USD,BASE_SALARY,56160.0,43680.0,56160.0,5,0
34319,3902340771,HOURLY,USD,BASE_SALARY,56160.0,37440.0,56160.0,5,0
34320,3902343457,YEARLY,USD,BASE_SALARY,185770.0,100030.0,100030.0,5,0
34321,3902342568,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34322,3902343451,HOURLY,USD,BASE_SALARY,72800.0,52000.0,63918.309907429066,5,0
34323,3902344452,HOURLY,USD,BASE_SALARY,47840.0,35880.0,47840.0,5,0
34324,3902347218,HOURLY,USD,BASE_SALARY,54080.0,37440.0,54080.0,5,0
34325,3902346478,YEARLY,USD,BASE_SALARY,82000.0,77000.0,77000.0,5,0
34326,3902347230,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34327,3902344439,HOURLY,USD,BASE_SALARY,50128.0,36192.0,50128.0,5,0
34328,3902345398,YEARLY,USD,BASE_SALARY,120000.0,90000.0,90000.0,5,0
34329,3902347201,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34330,3905827667,HOURLY,USD,BASE_SALARY,121929.59999999999,121929.59999999999,121929.59999999999,5,0
34331,3902341762,YEARLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34332,3902344462,YEARLY,USD,BASE_SALARY,85000.0,60000.0,63918.309907429066,5,0
34333,3902340774,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
