company_id,employee_count,follower_count,time_recorded
3038230,1452,11926,2024-04-11 18:05:27
63800,819,16951,2024-04-11 18:05:27
32705,642,8444,2024-04-11 18:05:27
422976,2923,44633,2024-04-11 18:05:27
2296781,65,2024,2024-04-11 18:05:27
32705,641,8444,2024-04-11 18:05:27
21337,12893,168683,2024-04-11 18:05:27
22531,292,21220,2024-04-11 18:05:27
68951209,43,2085,2024-04-11 18:05:27
81886402,2169,34892,2024-04-11 18:05:27
27139071,732,25788,2024-04-11 18:05:27
27139071,729,25788,2024-04-11 18:05:27
81954233,67,1495,2024-04-11 18:05:27
30960415,63,42060,2024-04-11 18:05:27
231810,2954,35889,2024-04-11 18:05:27
2372885,14571,240899,2024-04-11 18:05:27
10146731,1533,17027,2024-04-11 18:05:27
28417,630,96037,2024-04-11 18:05:27
1280492,59,182,2024-04-11 18:05:42
2674719,151,26866,2024-04-11 18:08:24
15388,2532,98793,2024-04-11 18:08:24
401618,230,355872,2024-04-11 18:08:24
99246997,12,403,2024-04-11 18:08:24
51100,187,43416,2024-04-11 18:08:24
18476,2129,970480,2024-04-11 18:08:24
2259276,281,35007,2024-04-11 18:08:24
165423,253,49930,2024-04-11 18:08:24
24794327,27,7945,2024-04-11 18:08:24
1756,260954,6080116,2024-04-11 18:08:24
92611,375,7159,2024-04-11 18:08:24
263824,13,2919,2024-04-11 18:08:24
23164,7258,29564,2024-04-11 18:08:24
13211176,14,9015,2024-04-11 18:08:24
9500249,72,419,2024-04-11 18:08:24
98701470,1,45,2024-04-11 18:08:24
68194053,203,44322,2024-04-11 18:08:24
2950721,128,2774,2024-04-11 18:08:24
42895954,39,504,2024-04-11 18:08:24
871040,78,948,2024-04-11 18:08:24
27292,2236,775184,2024-04-11 18:08:24
33649,1715,58921,2024-04-11 18:08:24
2674719,152,26866,2024-04-11 18:08:24
6464060,108,81389,2024-04-11 18:08:24
3649076,44,3688,2024-04-11 18:08:24
69600391,9,4633,2024-04-11 18:08:24
2319092,56,5280,2024-04-11 18:08:24
15245449,14,8034,2024-04-11 18:08:24
417618,149,152759,2024-04-11 18:11:49
12903073,7,21710,2024-04-11 18:11:49
2865,10194,204643,2024-04-11 18:11:49
61183453,13,49,2024-04-11 18:11:49
19107,4333,21489,2024-04-11 18:11:49
8821879,7000,5217,2024-04-11 18:11:49
1247510,27,1889,2024-04-11 18:11:49
2454189,7,8254,2024-04-11 18:11:49
165359,543,7459,2024-04-11 18:11:49
27006124,6,490,2024-04-11 18:11:49
1366785,158,3059,2024-04-11 18:11:49
